Prefetcher,IPC,L1D_HitRatio,L2C_HitRatio,LLC_HitRatio
no,1.23288,99.985,0.0,0.0
next_line,1.25611,99.985,57.1429,0.0
ppf_next_line_5,1.23288,99.985,50.0,0.0
ip_stride,1.23288,99.985,0.0,0.0
ppf_ip_stride,1.23288,99.985,0.0,0.0
spp_dev,1.24246,99.9851,11.1111,30.0
ppf_spp_dev_3,1.25523,99.9851,60.0,16.6667
temporal_region_prefeching_baseline,1.25523,99.9851,60.0,16.6667
temporal_region_prefeching_baseline_ppf_advanced_modular_2,1.25611,99.985,53.3333,0.0
