index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 6640474, ( 1254 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
2, 6640472, ( 1253 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
3, 7000387, ( 1209 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
4, 7000385, ( 1208 ), ( 927 ), ( 3 ), ( 1 ), ( 0 )
5, 7000389, ( 1204 1210 ), ( 0 0 ), ( 1 1 ), ( 1 1 ), ( 0 0 )
6, 66438610, ( 1187 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
7, 66438609, ( 1183 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
8, 66438607, ( 1182 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
9, 66438604, ( 1177 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
10, 66438602, ( 1176 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
11, 11950016, ( 1167 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
12, 11950014, ( 1166 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
13, 11949978, ( 1141 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
14, 11949976, ( 1140 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
15, 11949974, ( 1139 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
16, 11949973, ( 1135 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
17, 11949971, ( 1134 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
18, 11949969, ( 1133 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
19, 11949968, ( 1129 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
20, 11949966, ( 1128 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
21, 11949964, ( 1127 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
22, 11949963, ( 1123 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
23, 11949961, ( 1122 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
24, 11949959, ( 1121 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
25, 13652801, ( 1114 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
26, 13652799, ( 1113 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
27, 13652796, ( 1108 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
28, 13652786, ( 1102 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
29, 13652781, ( 1099 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
30, 13652776, ( 1093 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
31, 13652771, ( 1087 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
32, 13652766, ( 1081 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
33, 13652761, ( 1075 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
34, 13652756, ( 1069 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
35, 13652754, ( 1068 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
36, 13652751, ( 1066 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
37, 13652749, ( 1065 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
38, 13652747, ( 1064 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
39, 440165, ( 1063 ), ( 0 ), ( 1 ), ( 0 ), ( 0 )
40, 36241406, ( 1057 ), ( 0 ), ( 2 ), ( 1 ), ( 0 )
41, 36241404, ( 1056 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
42, 36241394, ( 1050 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
43, 36241389, ( 1047 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
44, 36241384, ( 1044 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
45, 36241374, ( 1032 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
46, 36241369, ( 1023 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
47, 99758188, ( 1021 ), ( 0 ), ( 2 ), ( 0 ), ( 0 )
48, 99758186, ( 1020 ), ( 916 ), ( 3 ), ( 0 ), ( 0 )
49, 36241364, ( 1017 ), ( 926 ), ( 3 ), ( 1 ), ( 0 )
50, 99758185, ( 1016 ), ( 0 ), ( 1 ), ( 0 ), ( 0 )
51, 99758183, ( 1015 ), ( 0 ), ( 2 ), ( 0 ), ( 0 )
52, 99758181, ( 1014 ), ( 916 ), ( 3 ), ( 0 ), ( 0 )
