index, address, array, ip_fold_1, pf_degree, valid, ppf_prediction
1, 66438611, ( 1263 ), ( 171 ), ( 3 ), ( 0 ), ( 1 )
2, 40534646, ( 1256 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
3, 40534647, ( 1253 1255 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
4, 5895607, ( 1250 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
5, 40534648, ( 1247 1252 1254 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
6, 5895605, ( 1244 1249 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
7, 64954562, ( 1241 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
8, 91319911, ( 1232 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
9, 91319909, ( 1229 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
10, 93486792, ( 1227 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
11, 40534649, ( 1224 1246 1251 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
12, 13652767, ( 156 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
13, 66448416, ( 666 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
14, 13652766, ( 153 155 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 0 0 )
15, 11331985, ( 609 617 646 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
16, 60590035, ( 956 979 981 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
17, 36241373, ( 276 290 319 1215 ), ( 0 0 555 0 ), ( 1 2 3 1 ), ( 1 1 1 1 ), ( 0 0 1 1 )
18, 5895601, ( 1186 1220 1242 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
19, 84865371, ( 1216 ), ( 832 ), ( 3 ), ( 1 ), ( 1 )
20, 5895599, ( 1169 1185 1219 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
21, 66448408, ( 516 664 902 ), ( 0 1020 0 ), ( 1 3 1 ), ( 1 1 1 ), ( 1 1 1 )
22, 13652759, ( 134 136 491 493 623 732 824 826 878 ), ( 0 931 0 916 0 0 0 0 0 ), ( 2 3 2 3 2 2 1 2 1 ), ( 0 0 0 0 0 0 0 0 0 ), ( 0 1 1 1 1 1 1 1 1 )
23, 11331990, ( 486 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
24, 60590040, ( 869 871 927 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
25, 71128179, ( 1002 ), ( 555 ), ( 3 ), ( 1 ), ( 1 )
26, 36241369, ( 206 226 ), ( 0 555 ), ( 2 3 ), ( 0 0 ), ( 0 1 )
27, 5895597, ( 1157 1168 1184 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
28, 11331991, ( 474 485 ), ( 0 0 ), ( 1 2 ), ( 1 1 ), ( 1 1 )
29, 90139346, ( 559 ), ( 780 ), ( 3 ), ( 1 ), ( 1 )
30, 60590041, ( 860 868 870 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
31, 115308517, ( 421 ), ( 832 ), ( 3 ), ( 1 ), ( 1 )
32, 5895595, ( 1130 1156 1167 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
33, 11331992, ( 459 473 484 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
34, 90139347, ( 560 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
35, 60590042, ( 821 859 867 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
36, 71128181, ( 986 1003 ), ( 0 567 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
37, 95032917, ( 456 467 478 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
38, 95032915, ( 447 455 466 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
39, 5895591, ( 1112 1123 1128 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
40, 11331993, ( 444 458 472 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
41, 66998188, ( 717 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
42, 90139348, ( 561 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
43, 60590043, ( 815 820 858 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
44, 11331994, ( 438 443 457 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
45, 60590044, ( 806 814 819 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
46, 71128183, ( 989 1006 1027 ), ( 0 0 613 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
47, 98354549, ( 1139 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
48, 11331995, ( 437 442 ), ( 0 445 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
49, 60590045, ( 797 805 813 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
50, 71128184, ( 1004 1025 ), ( 0 567 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
51, 11331996, ( 436 ), ( 445 ), ( 3 ), ( 1 ), ( 1 )
52, 60590046, ( 794 796 804 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
53, 95032911, ( 435 440 445 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
54, 5895587, ( 1089 1105 1110 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
55, 126088771, ( 432 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
56, 66448390, ( 309 311 313 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 1 )
57, 71128180, ( 988 1005 ), ( 0 613 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
58, 115308522, ( 422 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
59, 36241372, ( 252 275 289 1212 1214 ), ( 0 0 555 0 0 ), ( 1 2 3 1 2 ), ( 1 1 1 1 1 ), ( 0 0 1 1 1 )
60, 95032909, ( 417 434 439 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
61, 5895585, ( 1077 1088 1104 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
62, 17681845, ( 410 427 ), ( 0 613 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
63, 17681842, ( 409 ), ( 613 ), ( 3 ), ( 1 ), ( 1 )
64, 17681846, ( 407 424 ), ( 0 567 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
65, 17681843, ( 406 ), ( 567 ), ( 3 ), ( 1 ), ( 1 )
66, 93486791, ( 1178 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
67, 17681847, ( 405 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
68, 95032945, ( 698 713 722 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
69, 17681841, ( 403 ), ( 555 ), ( 3 ), ( 1 ), ( 1 )
70, 5895583, ( 1065 1076 1087 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
71, 95032905, ( 401 415 ), ( 0 733 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
72, 5895581, ( 1050 1064 1075 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
73, 95032913, ( 441 446 454 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
74, 5895589, ( 1106 1111 1122 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
75, 95032903, ( 400 ), ( 733 ), ( 3 ), ( 1 ), ( 1 )
76, 5895579, ( 1041 1049 1063 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
77, 5872150, ( 397 ), ( 832 ), ( 3 ), ( 1 ), ( 1 )
78, 57574496, ( 396 672 695 ), ( 0 0 0 ), ( 1 1 1 ), ( 1 1 1 ), ( 1 1 1 )
79, 60590030, ( 1016 1037 1042 ), ( 0 0 445 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
80, 72525789, ( 393 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
81, 68984944, ( 812 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
82, 95032943, ( 675 697 712 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
83, 72525788, ( 390 392 668 691 ), ( 0 0 0 0 ), ( 1 2 2 2 ), ( 1 1 1 1 ), ( 0 0 1 1 )
84, 72525787, ( 387 389 391 ), ( 0 0 931 ), ( 1 2 3 ), ( 1 1 1 ), ( 0 0 1 )
85, 95767688, ( 699 ), ( 445 ), ( 3 ), ( 1 ), ( 1 )
86, 95032941, ( 645 674 696 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
87, 72525786, ( 384 386 388 ), ( 0 0 931 ), ( 1 2 3 ), ( 0 0 0 ), ( 0 0 1 )
88, 95767687, ( 700 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
89, 72525785, ( 381 383 385 ), ( 0 0 931 ), ( 1 2 3 ), ( 0 0 0 ), ( 0 0 1 )
90, 95767686, ( 701 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
91, 95032939, ( 642 644 673 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
92, 72525784, ( 378 380 382 525 633 667 690 748 851 911 ), ( 0 0 931 0 0 1020 1020 0 0 0 ), ( 1 2 3 1 1 3 3 1 1 1 ), ( 1 1 1 1 1 1 1 1 1 1 ), ( 0 0 1 1 1 1 1 1 1 1 )
93, 58544212, ( 564 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
94, 72525783, ( 375 377 379 528 632 747 848 850 914 ), ( 0 0 931 0 0 0 0 0 0 ), ( 1 2 3 1 2 2 1 2 1 ), ( 0 0 0 0 0 0 0 0 0 ), ( 0 0 1 1 1 1 1 1 1 )
95, 58544209, ( 563 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
96, 95767714, ( 419 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
97, 1449233, ( 463 ), ( 832 ), ( 3 ), ( 1 ), ( 1 )
98, 58544208, ( 566 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
99, 95767713, ( 420 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
100, 36241371, ( 228 251 274 1211 1213 ), ( 0 0 555 0 555 ), ( 1 2 3 2 3 ), ( 1 1 1 1 1 ), ( 0 0 1 1 1 )
101, 123152592, ( 638 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
102, 72525781, ( 369 371 373 526 846 912 ), ( 0 0 931 916 1020 916 ), ( 1 2 3 3 3 3 ), ( 0 0 0 0 0 0 ), ( 0 0 1 1 1 1 )
103, 2995917, ( 945 ), ( 556 ), ( 3 ), ( 1 ), ( 1 )
104, 58544206, ( 562 ), ( 567 ), ( 3 ), ( 1 ), ( 1 )
105, 95767711, ( 448 ), ( 445 ), ( 3 ), ( 1 ), ( 1 )
106, 95767678, ( 761 ), ( 445 ), ( 3 ), ( 1 ), ( 1 )
107, 58544205, ( 565 ), ( 613 ), ( 3 ), ( 1 ), ( 1 )
108, 95767710, ( 449 451 ), ( 0 445 ), ( 2 3 ), ( 1 1 ), ( 1 1 )
109, 72525775, ( 353 355 520 ), ( 0 931 916 ), ( 2 3 3 ), ( 1 1 1 ), ( 0 1 1 )
110, 95032929, ( 573 584 592 ), ( 0 0 733 ), ( 1 2 3 ), ( 1 1 1 ), ( 1 1 1 )
111, 11949976, ( 498 627 736 833 ), ( 0 0 0 0 ), ( 1 1 1 1 ), ( 0 0 0 0 ), ( 1 1 1 1 )
112, 72525774, ( 352 ), ( 931 ), ( 3 ), ( 0 ), ( 1 )
113, 95767675, ( 762 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
114, 66448407, ( 351 519 845 905 ), ( 0 0 0 0 ), ( 1 1 1 1 ), ( 1 1 1 1 ), ( 0 1 1 1 )
115, 13652758, ( 133 490 622 731 823 825 877 ), ( 931 916 1020 1020 0 1020 0 ), ( 3 3 3 3 2 3 2 ), ( 0 0 1 1 1 1 1 ), ( 1 1 1 1 1 1 1 )
116, 66448406, ( 348 350 515 518 844 899 901 904 ), ( 0 0 0 0 0 0 0 0 ), ( 1 2 2 2 2 1 2 2 ), ( 1 1 1 1 1 1 1 1 ), ( 0 0 1 1 1 1 1 1 )
117, 13652757, ( 822 876 ), ( 1020 916 ), ( 3 3 ), ( 0 0 ), ( 1 1 )
118, 66448405, ( 345 347 349 517 843 903 ), ( 0 0 931 916 1020 916 ), ( 1 2 3 3 3 3 ), ( 1 1 1 1 1 1 ), ( 0 0 1 1 1 1 )
119, 66448404, ( 342 344 346 514 898 900 ), ( 0 0 931 916 0 916 ), ( 1 2 3 3 2 3 ), ( 0 0 0 0 0 0 ), ( 0 0 1 1 1 1 )
120, 16051731, ( 412 ), ( 832 ), ( 3 ), ( 1 ), ( 1 )
121, 66448403, ( 339 341 343 ), ( 0 0 931 ), ( 1 2 3 ), ( 0 0 0 ), ( 0 0 1 )
122, 66448402, ( 336 338 340 897 ), ( 0 0 931 916 ), ( 1 2 3 3 ), ( 0 0 0 0 ), ( 0 0 1 1 )
123, 66448401, ( 335 337 ), ( 0 931 ), ( 2 3 ), ( 0 0 ), ( 0 1 )
124, 16051728, ( 413 ), ( 0 ), ( 2 ), ( 1 ), ( 1 )
125, 66448400, ( 334 ), ( 931 ), ( 3 ), ( 0 ), ( 1 )
126, 66448399, ( 333 ), ( 0 ), ( 1 ), ( 1 ), ( 0 )
127, 1449243, ( 465 ), ( 0 ), ( 1 ), ( 1 ), ( 1 )
128, 17384398, ( 166 ), ( 931 ), ( 3 ), ( 0 ), ( 1 )
